,Company,Bar_Name,Reference_Number,Review_Date,Cocoa_Percentage,Company_Location,Rating,Bean_Type,Country,Flavor_Rating,Clusters,Cluster_Color
27,Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,Satisfactory,2,Dark Purple
28,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji,Satisfactory,3,Black
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador,Satisfactory,0,Pink
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador,Satisfactory,3,Black
31,Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,Mexico,Satisfactory,3,Black
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,Indonesia,Praiseworthy,1,Light Purple
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar,Satisfactory,1,Light Purple
34,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,Forastero,Brazil,Satisfactory,1,Light Purple
35,Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,Trinitario,Trinidad and Tobago,Satisfactory,0,Pink
36,Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,Trinitario,Vietnam,Satisfactory,1,Light Purple
37,Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,Madagascar,Satisfactory,1,Light Purple
38,Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,Venezuela,Disappointing,1,Light Purple
39,Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,Unknown,Peru,Disappointing,1,Light Purple
40,Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador,Satisfactory,3,Black
41,Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,Satisfactory,3,Black
42,Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,Trinitario,Vietnam,Satisfactory,3,Black
43,Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,Forastero,United Republic of Tanzania,Satisfactory,3,Black
44,Altus aka Cao Artisan,Momotombo,1728,2016,60.0,U.S.A.,2.75,Unknown,Nicaragua,Satisfactory,0,Pink
45,Altus aka Cao Artisan,Acopagro,1728,2016,60.0,U.S.A.,3.0,Unknown,Peru,Satisfactory,0,Pink
46,Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,U.S.A.,2.5,Unknown,Bolivia,Disappointing,0,Pink
47,Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,U.S.A.,2.5,Unknown,Peru,Disappointing,0,Pink
48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,U.S.A.,2.75,Unknown,Ecuador,Satisfactory,0,Pink
49,Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,U.S.A.,2.5,Unknown,Venezuela,Disappointing,0,Pink
50,Altus aka Cao Artisan,Conacado,1125,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic,Satisfactory,0,Pink
51,Altus aka Cao Artisan,Bolivia,1129,2013,80.0,U.S.A.,3.25,Unknown,Bolivia,Satisfactory,1,Light Purple
52,Altus aka Cao Artisan,Bolivia,1133,2013,60.0,U.S.A.,3.0,Unknown,Bolivia,Satisfactory,0,Pink
53,Altus aka Cao Artisan,Peru,1133,2013,60.0,U.S.A.,3.25,Unknown,Peru,Satisfactory,0,Pink
54,Amano,Morobe,725,2011,70.0,U.S.A.,4.0,Unknown,Papua New Guinea,Premium,3,Black
55,Amano,Dos Rios,470,2010,70.0,U.S.A.,3.75,Unknown,Dominican Republic,Praiseworthy,3,Black
56,Amano,Guayas,470,2010,70.0,U.S.A.,4.0,Unknown,Ecuador,Premium,3,Black
57,Amano,Chuao,544,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela,Satisfactory,3,Black
58,Amano,Montanya,363,2009,70.0,U.S.A.,3.0,Unknown,Venezuela,Satisfactory,3,Black
59,Amano,"Bali, Jembrana",304,2008,70.0,U.S.A.,2.75,Unknown,Indonesia,Satisfactory,3,Black
60,Amano,Madagascar,129,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar,Satisfactory,3,Black
61,Amano,Cuyagua,147,2007,70.0,U.S.A.,3.0,Unknown,Venezuela,Satisfactory,3,Black
62,Amano,Ocumare,175,2007,70.0,U.S.A.,3.75,Criollo,Venezuela,Praiseworthy,3,Black
63,Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,Ghana,Satisfactory,3,Black
64,Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,Unknown,Ecuador,Satisfactory,3,Black
65,Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,Unknown,Ecuador,Satisfactory,2,Dark Purple
66,Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,Ghana,Satisfactory,2,Dark Purple
67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,Unknown,Peru,Satisfactory,3,Black
68,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,Trinitario,Peru,Satisfactory,3,Black
69,Ambrosia,Belize,1494,2015,64.0,Canada,3.0,Trinitario,Belize,Satisfactory,0,Pink
70,Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,Trinitario,Madagascar,Satisfactory,0,Pink
71,Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25,Unknown,Dominican Republic,Satisfactory,1,Light Purple
72,Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25,Unknown,Papua New Guinea,Satisfactory,0,Pink
73,Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25,Unknown,Venezuela,Satisfactory,3,Black
74,Ambrosia,Peru,1498,2015,68.0,Canada,3.5,Unknown,Peru,Satisfactory,3,Black
75,Amedei,"Piura, Blanco de Criollo",979,2012,70.0,Italy,3.75,Unknown,Peru,Praiseworthy,3,Black
76,Amedei,Porcelana,111,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela,Premium,3,Black
77,Amedei,Nine,111,2007,75.0,Italy,4.0,Blend,Unknown,Premium,1,Light Purple
78,Amedei,Chuao,111,2007,70.0,Italy,5.0,Trinitario,Venezuela,Elite,3,Black
79,Amedei,Ecuador,123,2007,70.0,Italy,3.0,Trinitario,Ecuador,Satisfactory,3,Black
80,Amedei,Jamaica,123,2007,70.0,Italy,3.0,Trinitario,Jamaica,Satisfactory,3,Black
81,Amedei,Grenada,123,2007,70.0,Italy,3.5,Trinitario,Grenada,Satisfactory,3,Black
82,Amedei,Venezuela,123,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela,Praiseworthy,3,Black
83,Amedei,Madagascar,123,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar,Premium,3,Black
84,Amedei,Trinidad,129,2007,70.0,Italy,3.5,Trinitario,Trinidad and Tobago,Satisfactory,3,Black
85,Amedei,Toscano Black,170,2007,63.0,Italy,3.5,Blend,Unknown,Satisfactory,0,Pink
86,Amedei,Toscano Black,40,2006,70.0,Italy,5.0,Blend,Unknown,Elite,3,Black
87,Amedei,Toscano Black,75,2006,66.0,Italy,4.0,Blend,Unknown,Premium,0,Pink
88,AMMA,Catongo,1065,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil,Satisfactory,1,Light Purple
89,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil,Satisfactory,2,Dark Purple
90,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil,Praiseworthy,0,Pink
91,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil,Praiseworthy,1,Light Purple
92,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil,Premium,0,Pink
93,Anahata,Elvesia,1259,2014,75.0,U.S.A.,3.0,Unknown,Dominican Republic,Satisfactory,1,Light Purple
94,Animas,Alto Beni,1852,2016,75.0,U.S.A.,3.5,Unknown,Bolivia,Satisfactory,1,Light Purple
95,Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar,Satisfactory,1,Light Purple
96,Ara,Chiapas,1379,2014,72.0,France,2.5,Unknown,Mexico,Disappointing,3,Black
97,Ara,Equateur,1379,2014,75.0,France,2.75,Unknown,Ecuador,Satisfactory,1,Light Purple
98,Ara,Trincheras,1379,2014,75.0,France,3.0,Unknown,Venezuela,Satisfactory,1,Light Purple
99,Arete,San Juan,1724,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad and Tobago,Satisfactory,3,Black
100,Arete,Kokoa Kamili,1724,2016,70.0,U.S.A.,3.75,Unknown,United Republic of Tanzania,Praiseworthy,3,Black
101,Arete,Tien Giang,1900,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam,Satisfactory,3,Black
102,Arete,Hacienda Victoria,1904,2016,70.0,U.S.A.,3.25,Unknown,Ecuador,Satisfactory,3,Black
103,Arete,Costa Esmeraldas,1904,2016,70.0,U.S.A.,3.25,Unknown,Ecuador,Satisfactory,3,Black
104,Arete,Lachua,1904,2016,70.0,U.S.A.,3.5,Unknown,Guatemala,Satisfactory,3,Black
105,Arete,Rugoso,1904,2016,70.0,U.S.A.,3.75,Unknown,Nicaragua,Praiseworthy,3,Black
106,Arete,"La Masica, FHIA",1908,2016,70.0,U.S.A.,3.5,Unknown,Honduras,Satisfactory,3,Black
107,Arete,"Coto Brus, Terciopelo",1908,2016,70.0,U.S.A.,4.0,Unknown,Costa Rica,Premium,3,Black
108,Arete,Phantom,1924,2016,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,Premium,3,Black
109,Arete,Elvesia,1928,2016,70.0,U.S.A.,3.75,Unknown,Dominican Republic,Praiseworthy,3,Black
110,Arete,Matasawalevu,1928,2016,70.0,U.S.A.,3.25,Unknown,Fiji,Satisfactory,3,Black
111,Arete,Lam Dong,1928,2016,73.0,U.S.A.,3.25,Unknown,Vietnam,Satisfactory,3,Black
112,Arete,Fazenda Camboa,1534,2015,70.0,U.S.A.,3.5,Unknown,Brazil,Satisfactory,3,Black
113,Arete,Nacional,1534,2015,68.0,U.S.A.,3.5,Forastero (Nacional),Peru,Satisfactory,3,Black
114,Arete,"Puerto Quito, heirloom",1534,2015,70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador,Praiseworthy,3,Black
115,Arete,Oko Caribe,1598,2015,70.0,U.S.A.,3.5,Unknown,Dominican Republic,Satisfactory,3,Black
116,Arete,Maya Mountain,1598,2015,70.0,U.S.A.,3.75,Trinitario,Belize,Praiseworthy,3,Black
117,Arete,Chuno,1598,2015,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua,Premium,3,Black
118,Arete,Fazenda Camboa,1602,2015,75.0,U.S.A.,2.75,Unknown,Brazil,Satisfactory,1,Light Purple
119,Arete,Guatemala,1602,2015,70.0,U.S.A.,3.25,Unknown,Guatemala,Satisfactory,3,Black
120,Arete,Camino Verde,1602,2015,75.0,U.S.A.,3.5,Unknown,Ecuador,Satisfactory,1,Light Purple
121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72.0,U.K.,3.25,Trinitario,Trinidad and Tobago,Satisfactory,3,Black
122,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72.0,U.K.,3.75,Unknown,Colombia,Praiseworthy,3,Black
123,Artisan du Chocolat,Haiti,729,2011,72.0,U.K.,4.0,Unknown,Haiti,Premium,3,Black
124,Artisan du Chocolat,Panama,745,2011,72.0,U.K.,2.75,Unknown,Panama,Satisfactory,3,Black
125,Artisan du Chocolat,Venezuela,486,2010,100.0,U.K.,1.75,Unknown,Venezuela,Unpleasant,2,Dark Purple
126,Artisan du Chocolat,Jamaica,531,2010,72.0,U.K.,3.75,Trinitario,Jamaica,Praiseworthy,3,Black
127,Artisan du Chocolat,Costa Rica,600,2010,72.0,U.K.,3.25,Unknown,Costa Rica,Satisfactory,3,Black
128,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,U.K.,3.25,Trinitario,Vietnam,Satisfactory,3,Black
129,Artisan du Chocolat,Bali,600,2010,72.0,U.K.,3.5,Unknown,Indonesia,Satisfactory,3,Black
130,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,U.K.,2.5,"Criollo, Trinitario",Venezuela,Disappointing,1,Light Purple
131,Artisan du Chocolat,Java,355,2009,72.0,U.K.,2.75,Trinitario,Indonesia,Satisfactory,3,Black
132,Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,U.K.,1.75,Unknown,Brazil,Unpleasant,3,Black
133,Artisan du Chocolat,Madagascar,363,2009,80.0,U.K.,3.0,"Criollo, Trinitario",Madagascar,Satisfactory,1,Light Purple
134,Artisan du Chocolat,Peru,363,2009,75.0,U.K.,3.0,Criollo,Peru,Satisfactory,1,Light Purple
135,Artisan du Chocolat,Dominican Republic,363,2009,72.0,U.K.,3.25,Trinitario,Dominican Republic,Satisfactory,3,Black
136,Artisan du Chocolat,Congo,300,2008,72.0,U.K.,3.75,Forastero,Congo,Praiseworthy,3,Black
137,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.0,U.K.,2.75,Trinitario,Colombia,Satisfactory,3,Black
138,Askinosie,Mababa,1780,2016,68.0,U.S.A.,3.75,Trinitario,United Republic of Tanzania,Praiseworthy,3,Black
139,Askinosie,"Tenende, Uwate",647,2011,72.0,U.S.A.,3.75,Trinitario,United Republic of Tanzania,Praiseworthy,3,Black
140,Askinosie,Cortes,661,2011,70.0,U.S.A.,3.75,Trinitario,Honduras,Praiseworthy,3,Black
141,Askinosie,Davao,331,2009,77.0,U.S.A.,3.75,Trinitario,Philippines,Praiseworthy,1,Light Purple
142,Askinosie,Xoconusco,141,2007,75.0,U.S.A.,2.5,Trinitario,Mexico,Disappointing,1,Light Purple
143,Askinosie,San Jose del Tambo,175,2007,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador,Satisfactory,3,Black
144,Bahen & Co.,Houseblend,1474,2015,80.0,Australia,3.25,Unknown,Unknown,Satisfactory,1,Light Purple
145,Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5,Unknown,Papua New Guinea,Satisfactory,3,Black
146,Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,Trinitario,Madagascar,Satisfactory,3,Black
147,Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5,Unknown,Brazil,Disappointing,3,Black
148,Bahen & Co.,Houseblend,999,2012,70.0,Australia,2.5,Blend,Unknown,Disappointing,3,Black
149,Bakau,"Bambamarca, 2015",1454,2015,70.0,Peru,2.75,Unknown,Peru,Satisfactory,3,Black
150,Bakau,"Huallabamba, 2015",1454,2015,70.0,Peru,3.5,Unknown,Peru,Satisfactory,3,Black
151,Bar Au Chocolat,Bahia,1554,2015,70.0,U.S.A.,3.5,Unknown,Brazil,Satisfactory,3,Black
152,Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,Premium,3,Black
153,Bar Au Chocolat,Duarte Province,983,2012,70.0,U.S.A.,3.25,Unknown,Dominican Republic,Satisfactory,3,Black
154,Bar Au Chocolat,Chiapas,983,2012,70.0,U.S.A.,3.5,Unknown,Mexico,Satisfactory,3,Black
155,Bar Au Chocolat,Sambirano,983,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,Praiseworthy,3,Black
156,Baravelli's,single estate,955,2012,80.0,Wales,2.75,Unknown,Costa Rica,Satisfactory,1,Light Purple
157,Batch,"Dominican Republic, Batch 3",1840,2016,65.0,U.S.A.,3.5,Unknown,Dominican Republic,Satisfactory,0,Pink
158,Batch,Brazil,1868,2016,70.0,U.S.A.,3.75,Unknown,Brazil,Praiseworthy,3,Black
159,Batch,Ecuador,1880,2016,65.0,U.S.A.,3.25,Unknown,Ecuador,Satisfactory,0,Pink
160,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73.0,U.K.,3.0,Unknown,Malaysia,Satisfactory,3,Black
161,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72.0,U.K.,3.25,Unknown,Malaysia,Satisfactory,3,Black
162,Beehive,"Brazil, Batch 20316",1784,2016,80.0,U.S.A.,2.75,Unknown,Brazil,Satisfactory,1,Light Purple
163,Beehive,"Dominican Republic, Batch 31616",1784,2016,70.0,U.S.A.,2.75,Unknown,Dominican Republic,Satisfactory,3,Black
164,Beehive,"Ecuador, Batch 31516",1784,2016,70.0,U.S.A.,2.75,Unknown,Ecuador,Satisfactory,3,Black
165,Beehive,Ecuador,1788,2016,90.0,U.S.A.,2.75,Unknown,Ecuador,Satisfactory,2,Dark Purple
166,Belcolade,Costa Rica,586,2010,64.0,Belgium,2.75,Unknown,Costa Rica,Satisfactory,0,Pink
167,Belcolade,Papua New Guinea,586,2010,64.0,Belgium,2.75,Unknown,Papua New Guinea,Satisfactory,0,Pink
168,Belcolade,Peru,586,2010,64.0,Belgium,2.75,Unknown,Peru,Satisfactory,0,Pink
169,Belcolade,Ecuador,586,2010,71.0,Belgium,3.5,Unknown,Ecuador,Satisfactory,3,Black
170,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70.0,U.S.A.,3.5,"Criollo, Trinitario",United Republic of Tanzania,Satisfactory,3,Black
171,Bellflower,"Alto Beni, Palos Blanco",1804,2016,70.0,U.S.A.,3.25,Unknown,Bolivia,Satisfactory,3,Black
172,Bellflower,"Oko Caribe, Duarte P.",1864,2016,70.0,U.S.A.,3.5,Unknown,Dominican Republic,Satisfactory,3,Black
173,Belyzium,"Belize south, low fermentation",1768,2016,83.0,Germany,2.75,Trinitario,Belize,Satisfactory,2,Dark Purple
174,Belyzium,Belize south,1768,2016,78.0,Germany,3.0,Trinitario,Belize,Satisfactory,1,Light Purple
175,Belyzium,Belize south,1768,2016,83.0,Germany,3.5,Trinitario,Belize,Satisfactory,2,Dark Purple
176,Benoit Nihant,Baracoa,1141,2013,74.0,Belgium,3.5,Trinitario,Cuba,Satisfactory,1,Light Purple
177,Benoit Nihant,Chuao,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,Satisfactory,1,Light Purple
178,Benoit Nihant,Cuyagua Village,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,Satisfactory,1,Light Purple
179,Benoit Nihant,Rio Peripa H.,1141,2013,73.0,Belgium,4.0,Trinitario,Ecuador,Premium,3,Black
180,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72.0,Belgium,4.0,Trinitario,Indonesia,Premium,3,Black
181,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72.0,Belgium,3.75,Trinitario,Madagascar,Praiseworthy,3,Black
182,Bernachon,Nature,797,2012,55.0,France,2.75,Unknown,Unknown,Satisfactory,0,Pink
183,Beschle (Felchlin),Madagascar,636,2011,64.0,Switzerland,3.0,Trinitario,Madagascar,Satisfactory,0,Pink
184,Beschle (Felchlin),Maracaibo,636,2011,88.0,Switzerland,3.0,Criollo,Venezuela,Satisfactory,2,Dark Purple
185,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72.0,Switzerland,3.5,Unknown,Venezuela,Satisfactory,3,Black
186,Beschle (Felchlin),Ecuador,636,2011,72.0,Switzerland,4.0,Unknown,Ecuador,Premium,3,Black
187,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70.0,Switzerland,3.25,Trinitario,Venezuela,Satisfactory,3,Black
188,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela,Satisfactory,1,Light Purple
189,Beschle (Felchlin),"Java, Grand Cru",508,2010,64.0,Switzerland,3.5,Unknown,Indonesia,Satisfactory,0,Pink
190,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72.0,Switzerland,3.5,Unknown,Venezuela,Satisfactory,3,Black
191,Bisou,"Nicaragua, American style",1482,2015,76.0,U.S.A.,2.5,Unknown,Nicaragua,Disappointing,1,Light Purple
192,Bisou,"San Andres, American style",1486,2015,76.0,U.S.A.,2.5,Unknown,Costa Rica,Disappointing,1,Light Purple
193,Bisou,"San Andres, silk",1486,2015,78.0,U.S.A.,2.5,Unknown,Costa Rica,Disappointing,1,Light Purple
194,Bisou,Belize,1486,2015,86.0,U.S.A.,3.25,Trinitario,Belize,Satisfactory,2,Dark Purple
195,Bittersweet Origins,Ghana,963,2012,72.0,U.S.A.,3.5,Forastero,Ghana,Satisfactory,3,Black
196,Bittersweet Origins,"Bali, Singaraja",478,2010,75.0,U.S.A.,3.25,Unknown,Indonesia,Satisfactory,1,Light Purple
197,Bittersweet Origins,2009 Hapa Nibby,502,2010,70.0,U.S.A.,3.75,Blend,"Dominican Rep., Bali",Praiseworthy,3,Black
198,Bittersweet Origins,"Bali, Singaraja",558,2010,65.0,U.S.A.,2.75,Unknown,Indonesia,Satisfactory,0,Pink
199,Bittersweet Origins,"Sambirano, 2009",565,2010,70.0,U.S.A.,3.0,Trinitario,Madagascar,Satisfactory,3,Black
200,Bittersweet Origins,"Ocumare, prototype",565,2010,78.0,U.S.A.,3.0,Criollo,Venezuela,Satisfactory,1,Light Purple
201,Bittersweet Origins,Puerto Plata,414,2009,75.0,U.S.A.,3.0,Unknown,Dominican Republic,Satisfactory,1,Light Purple
202,Bittersweet Origins,Puerto Plata,414,2009,65.0,U.S.A.,3.5,Unknown,Dominican Republic,Satisfactory,0,Pink
203,Bittersweet Origins,Sambirano,423,2009,75.0,U.S.A.,3.25,Trinitario,Madagascar,Satisfactory,1,Light Purple
204,Bittersweet Origins,Sambirano,431,2009,65.0,U.S.A.,3.5,Trinitario,Madagascar,Satisfactory,0,Pink
205,Bittersweet Origins,Sambirano,233,2008,71.0,U.S.A.,3.0,Trinitario,Madagascar,Satisfactory,3,Black
206,Bittersweet Origins,Bocas del Toro,233,2008,75.0,U.S.A.,3.5,Unknown,Panama,Satisfactory,1,Light Purple
207,Bittersweet Origins,Puerto Plata,233,2008,68.0,U.S.A.,3.75,Unknown,Dominican Republic,Praiseworthy,3,Black
208,Bittersweet Origins,Ankasa,256,2008,70.0,U.S.A.,3.0,Forastero,Ghana,Satisfactory,3,Black
209,Black Mountain,La Red,256,2008,70.0,U.S.A.,2.75,Unknown,Dominican Republic,Satisfactory,3,Black
210,Black Mountain,Carenero Superior,256,2008,70.0,U.S.A.,2.75,Trinitario,Venezuela,Satisfactory,3,Black
211,Black Mountain,Matiguas,256,2008,70.0,U.S.A.,3.0,Unknown,Nicaragua,Satisfactory,3,Black
212,Black River (A. Morin),Blue Mountain Region,1331,2014,70.0,U.K.,2.75,Trinitario,Jamaica,Satisfactory,3,Black
213,Blanxart,"Congo, Grand Cru",1046,2013,82.0,Spain,3.5,Forastero,Congo,Satisfactory,1,Light Purple
214,Blanxart,Organic Dark,322,2009,72.0,Spain,2.75,Unknown,Unknown,Satisfactory,3,Black
215,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82.0,U.S.A.,3.5,Trinitario,Madagascar,Satisfactory,1,Light Purple
216,Blue Bandana,Lachua,1752,2016,75.0,U.S.A.,2.75,Unknown,Guatemala,Satisfactory,1,Light Purple
217,Blue Bandana,Kokoa Kamili,1752,2016,75.0,U.S.A.,3.5,Unknown,United Republic of Tanzania,Satisfactory,1,Light Purple
218,Blue Bandana,Zorzal Reserva,1756,2016,75.0,U.S.A.,3.0,Unknown,Dominican Republic,Satisfactory,1,Light Purple
219,Blue Bandana,Guatemala,911,2012,70.0,U.S.A.,3.5,Unknown,Guatemala,Satisfactory,3,Black
220,Blue Bandana,Madagascar,911,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,Praiseworthy,3,Black
221,Bonnat,Selva Maya,1912,2016,75.0,France,3.5,Unknown,Mexico,Satisfactory,1,Light Purple
222,Bonnat,Kaori,1339,2014,75.0,France,4.0,Unknown,Brazil,Premium,1,Light Purple
223,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75.0,France,3.25,Unknown,Dominican Republic,Satisfactory,1,Light Purple
