,Company,Bar_Name,Reference_Number,Review_Date,Cocoa_Percentage,Company_Location,Rating,Bean_Type,Country,Flavor_Rating
139,Askinosie,"Tenende, Uwate",647,2011,72.0,U.S.A.,3.75,Trinitario,United Republic of Tanzania,Praiseworthy
140,Askinosie,Cortes,661,2011,70.0,U.S.A.,3.75,Trinitario,Honduras,Praiseworthy
141,Askinosie,Davao,331,2009,77.0,U.S.A.,3.75,Trinitario,Philippines,Praiseworthy
142,Askinosie,Xoconusco,141,2007,75.0,U.S.A.,2.5,Trinitario,Mexico,Disappointing
143,Askinosie,San Jose del Tambo,175,2007,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador,Satisfactory
144,Bahen & Co.,Houseblend,1474,2015,80.0,Australia,3.25,Unknown,Unknown,Satisfactory
145,Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5,Unknown,Papua New Guinea,Satisfactory
146,Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,Trinitario,Madagascar,Satisfactory
147,Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5,Unknown,Brazil,Disappointing
148,Bahen & Co.,Houseblend,999,2012,70.0,Australia,2.5,Blend,Unknown,Disappointing
149,Bakau,"Bambamarca, 2015",1454,2015,70.0,Peru,2.75,Unknown,Peru,Satisfactory
150,Bakau,"Huallabamba, 2015",1454,2015,70.0,Peru,3.5,Unknown,Peru,Satisfactory
151,Bar Au Chocolat,Bahia,1554,2015,70.0,U.S.A.,3.5,Unknown,Brazil,Satisfactory
152,Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,Premium
153,Bar Au Chocolat,Duarte Province,983,2012,70.0,U.S.A.,3.25,Unknown,Dominican Republic,Satisfactory
154,Bar Au Chocolat,Chiapas,983,2012,70.0,U.S.A.,3.5,Unknown,Mexico,Satisfactory
155,Bar Au Chocolat,Sambirano,983,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,Praiseworthy
156,Baravelli's,single estate,955,2012,80.0,Wales,2.75,Unknown,Costa Rica,Satisfactory
157,Batch,"Dominican Republic, Batch 3",1840,2016,65.0,U.S.A.,3.5,Unknown,Dominican Republic,Satisfactory
158,Batch,Brazil,1868,2016,70.0,U.S.A.,3.75,Unknown,Brazil,Praiseworthy
159,Batch,Ecuador,1880,2016,65.0,U.S.A.,3.25,Unknown,Ecuador,Satisfactory
160,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73.0,U.K.,3.0,Unknown,Malaysia,Satisfactory
161,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72.0,U.K.,3.25,Unknown,Malaysia,Satisfactory
162,Beehive,"Brazil, Batch 20316",1784,2016,80.0,U.S.A.,2.75,Unknown,Brazil,Satisfactory
163,Beehive,"Dominican Republic, Batch 31616",1784,2016,70.0,U.S.A.,2.75,Unknown,Dominican Republic,Satisfactory
164,Beehive,"Ecuador, Batch 31516",1784,2016,70.0,U.S.A.,2.75,Unknown,Ecuador,Satisfactory
165,Beehive,Ecuador,1788,2016,90.0,U.S.A.,2.75,Unknown,Ecuador,Satisfactory
166,Belcolade,Costa Rica,586,2010,64.0,Belgium,2.75,Unknown,Costa Rica,Satisfactory
167,Belcolade,Papua New Guinea,586,2010,64.0,Belgium,2.75,Unknown,Papua New Guinea,Satisfactory
168,Belcolade,Peru,586,2010,64.0,Belgium,2.75,Unknown,Peru,Satisfactory
169,Belcolade,Ecuador,586,2010,71.0,Belgium,3.5,Unknown,Ecuador,Satisfactory
170,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70.0,U.S.A.,3.5,"Criollo, Trinitario",United Republic of Tanzania,Satisfactory
171,Bellflower,"Alto Beni, Palos Blanco",1804,2016,70.0,U.S.A.,3.25,Unknown,Bolivia,Satisfactory
172,Bellflower,"Oko Caribe, Duarte P.",1864,2016,70.0,U.S.A.,3.5,Unknown,Dominican Republic,Satisfactory
173,Belyzium,"Belize south, low fermentation",1768,2016,83.0,Germany,2.75,Trinitario,Belize,Satisfactory
174,Belyzium,Belize south,1768,2016,78.0,Germany,3.0,Trinitario,Belize,Satisfactory
175,Belyzium,Belize south,1768,2016,83.0,Germany,3.5,Trinitario,Belize,Satisfactory
176,Benoit Nihant,Baracoa,1141,2013,74.0,Belgium,3.5,Trinitario,Cuba,Satisfactory
177,Benoit Nihant,Chuao,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,Satisfactory
178,Benoit Nihant,Cuyagua Village,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,Satisfactory
179,Benoit Nihant,Rio Peripa H.,1141,2013,73.0,Belgium,4.0,Trinitario,Ecuador,Premium
180,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72.0,Belgium,4.0,Trinitario,Indonesia,Premium
181,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72.0,Belgium,3.75,Trinitario,Madagascar,Praiseworthy
182,Bernachon,Nature,797,2012,55.0,France,2.75,Unknown,Unknown,Satisfactory
183,Beschle (Felchlin),Madagascar,636,2011,64.0,Switzerland,3.0,Trinitario,Madagascar,Satisfactory
184,Beschle (Felchlin),Maracaibo,636,2011,88.0,Switzerland,3.0,Criollo,Venezuela,Satisfactory
185,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72.0,Switzerland,3.5,Unknown,Venezuela,Satisfactory
186,Beschle (Felchlin),Ecuador,636,2011,72.0,Switzerland,4.0,Unknown,Ecuador,Premium
187,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70.0,Switzerland,3.25,Trinitario,Venezuela,Satisfactory
188,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela,Satisfactory
189,Beschle (Felchlin),"Java, Grand Cru",508,2010,64.0,Switzerland,3.5,Unknown,Indonesia,Satisfactory
190,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72.0,Switzerland,3.5,Unknown,Venezuela,Satisfactory
191,Bisou,"Nicaragua, American style",1482,2015,76.0,U.S.A.,2.5,Unknown,Nicaragua,Disappointing
192,Bisou,"San Andres, American style",1486,2015,76.0,U.S.A.,2.5,Unknown,Costa Rica,Disappointing
193,Bisou,"San Andres, silk",1486,2015,78.0,U.S.A.,2.5,Unknown,Costa Rica,Disappointing
194,Bisou,Belize,1486,2015,86.0,U.S.A.,3.25,Trinitario,Belize,Satisfactory
195,Bittersweet Origins,Ghana,963,2012,72.0,U.S.A.,3.5,Forastero,Ghana,Satisfactory
196,Bittersweet Origins,"Bali, Singaraja",478,2010,75.0,U.S.A.,3.25,Unknown,Indonesia,Satisfactory
197,Bittersweet Origins,2009 Hapa Nibby,502,2010,70.0,U.S.A.,3.75,Blend,"Dominican Rep., Bali",Praiseworthy
198,Bittersweet Origins,"Bali, Singaraja",558,2010,65.0,U.S.A.,2.75,Unknown,Indonesia,Satisfactory
199,Bittersweet Origins,"Sambirano, 2009",565,2010,70.0,U.S.A.,3.0,Trinitario,Madagascar,Satisfactory
200,Bittersweet Origins,"Ocumare, prototype",565,2010,78.0,U.S.A.,3.0,Criollo,Venezuela,Satisfactory
201,Bittersweet Origins,Puerto Plata,414,2009,75.0,U.S.A.,3.0,Unknown,Dominican Republic,Satisfactory
202,Bittersweet Origins,Puerto Plata,414,2009,65.0,U.S.A.,3.5,Unknown,Dominican Republic,Satisfactory
203,Bittersweet Origins,Sambirano,423,2009,75.0,U.S.A.,3.25,Trinitario,Madagascar,Satisfactory
204,Bittersweet Origins,Sambirano,431,2009,65.0,U.S.A.,3.5,Trinitario,Madagascar,Satisfactory
205,Bittersweet Origins,Sambirano,233,2008,71.0,U.S.A.,3.0,Trinitario,Madagascar,Satisfactory
206,Bittersweet Origins,Bocas del Toro,233,2008,75.0,U.S.A.,3.5,Unknown,Panama,Satisfactory
207,Bittersweet Origins,Puerto Plata,233,2008,68.0,U.S.A.,3.75,Unknown,Dominican Republic,Praiseworthy
208,Bittersweet Origins,Ankasa,256,2008,70.0,U.S.A.,3.0,Forastero,Ghana,Satisfactory
209,Black Mountain,La Red,256,2008,70.0,U.S.A.,2.75,Unknown,Dominican Republic,Satisfactory
210,Black Mountain,Carenero Superior,256,2008,70.0,U.S.A.,2.75,Trinitario,Venezuela,Satisfactory
211,Black Mountain,Matiguas,256,2008,70.0,U.S.A.,3.0,Unknown,Nicaragua,Satisfactory
212,Black River (A. Morin),Blue Mountain Region,1331,2014,70.0,U.K.,2.75,Trinitario,Jamaica,Satisfactory
213,Blanxart,"Congo, Grand Cru",1046,2013,82.0,Spain,3.5,Forastero,Congo,Satisfactory
214,Blanxart,Organic Dark,322,2009,72.0,Spain,2.75,Unknown,Unknown,Satisfactory
215,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82.0,U.S.A.,3.5,Trinitario,Madagascar,Satisfactory
216,Blue Bandana,Lachua,1752,2016,75.0,U.S.A.,2.75,Unknown,Guatemala,Satisfactory
217,Blue Bandana,Kokoa Kamili,1752,2016,75.0,U.S.A.,3.5,Unknown,United Republic of Tanzania,Satisfactory
218,Blue Bandana,Zorzal Reserva,1756,2016,75.0,U.S.A.,3.0,Unknown,Dominican Republic,Satisfactory
219,Blue Bandana,Guatemala,911,2012,70.0,U.S.A.,3.5,Unknown,Guatemala,Satisfactory
220,Blue Bandana,Madagascar,911,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,Praiseworthy
221,Bonnat,Selva Maya,1912,2016,75.0,France,3.5,Unknown,Mexico,Satisfactory
222,Bonnat,Kaori,1339,2014,75.0,France,4.0,Unknown,Brazil,Premium
223,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75.0,France,3.25,Unknown,Dominican Republic,Satisfactory
224,Bonnat,Surfin,1418,2014,65.0,France,3.75,Unknown,"Venez,Africa,Brasil,Peru,Mex",Praiseworthy
225,Bonnat,Maragnam,1038,2013,75.0,France,3.5,Unknown,Brazil,Satisfactory
226,Bonnat,Gabon,1042,2013,75.0,France,3.25,Unknown,Gabon,Satisfactory
227,Bonnat,Cuba,629,2011,75.0,France,3.5,Trinitario,Cuba,Satisfactory
228,Bonnat,"Cusco, Cacao Cusco",629,2011,75.0,France,3.5,Unknown,Peru,Satisfactory
229,Bonnat,Piura Blanco,629,2011,75.0,France,3.5,Forastero (Nacional),Peru,Satisfactory
230,Bonnat,Libanio,629,2011,75.0,France,3.75,Unknown,Brazil,Praiseworthy
231,Bonnat,Haiti,629,2011,75.0,France,4.0,Unknown,Haiti,Premium
232,Bonnat,"Madagascar, 100% criollo",629,2011,75.0,France,4.0,Criollo,Madagascar,Premium
233,Bonnat,Juliana,672,2011,75.0,France,3.5,Unknown,Brazil,Satisfactory
234,Bonnat,Jamaique,761,2011,75.0,France,3.25,Trinitario,Jamaica,Satisfactory
235,Bonnat,Ivory Coast,331,2009,75.0,France,3.0,Unknown,Ivory Coast,Satisfactory
236,Bonnat,"Porcelana, Apotequil",336,2009,75.0,France,2.75,Criollo,Peru,Satisfactory
237,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75.0,France,3.0,Criollo,Mexico,Satisfactory
238,Bonnat,"Xoconusco, cacao Real",395,2009,75.0,France,3.0,Criollo,Mexico,Satisfactory
239,Bonnat,"Porcelana, Venezuela",199,2008,75.0,France,4.0,Criollo (Porcelana),Venezuela,Premium
240,Bonnat,Equateur,123,2007,75.0,France,2.5,Forastero (Arriba),Ecuador,Disappointing
241,Bonnat,Trinite,24,2006,75.0,France,3.75,Trinitario,Carribean,Praiseworthy
242,Bonnat,"Ocumare, Puerto Cabello",32,2006,75.0,France,4.0,Unknown,Venezuela,Premium
243,Bonnat,"Maracaibo, El Rosario",48,2006,75.0,France,4.0,Criollo,Venezuela,Premium
244,Bonnat,Madagascar,75,2006,75.0,France,4.0,Trinitario,Madagascar,Premium
245,Bonnat,One Hundred,81,2006,100.0,France,1.5,Unknown,Unknown,Unpleasant
246,Bonnat,Ceylan,81,2006,75.0,France,3.0,Unknown,Sri Lanka,Satisfactory
247,Bonnat,Chuao,81,2006,75.0,France,4.0,Trinitario,Venezuela,Premium
248,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77.0,Ecuador,3.25,Forastero (Arriba),Ecuador,Satisfactory
249,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100.0,Ecuador,1.5,Forastero (Arriba),Ecuador,Unpleasant
250,Bowler Man,Maya Mountain,1267,2014,70.0,U.S.A.,2.75,Trinitario,Belize,Satisfactory
